student_id,name,grade,interests,strengths,weaknesses,learning_style,onboarding_completed
c32d6162-ec86-4844-b407-a26548781d85,Diya,12,Biology|Psychology,Geography,Chemistry|Hindi,reading,True
63bd544c-a2b7-425f-9e82-80884e06f8cd,Rudra,7,Environmental Science|Physics|History,Physics|Mathematics|Political Science,Biology,auditory,True
9af02df8-40df-42a8-8684-06b141ccdb0f,Pari,2,History|Psychology|Biology|Hindi|Mathematics,Hindi,History,kinesthetic,True
db2b7b42-4a4a-4b28-9562-7c558e3fac46,Shreya,4,Art & Design|Psychology|Music|Geography|Political Science,History|Chemistry|Biology,English|Mathematics,visual,True
044fd87d-41b1-4a5b-9c16-8534f38b7aad,Karan,11,Mathematics|Psychology|Economics|History,Psychology|Environmental Science|Geography,Mathematics,visual,True
386ab489-05cc-4400-a0e9-222df34ff518,Isha,2,Economics|Physics,Environmental Science|Biology|Hindi,Art & Design,visual,True
31f6deb3-c071-4e97-9601-8f8467f1d97d,Sanya,9,Hindi|Political Science,Economics|Geography|English,Biology|Environmental Science,reading,True
735acbb2-7d32-4bf6-bfdc-be7aa4d53c8c,Dev,3,Hindi|Chemistry|Political Science|Music,History|English,Mathematics,visual,True
79511d6d-6cac-4255-b9e7-b51736b24632,Sara,1,Geography|Computer Science|Chemistry,Psychology|Physics,Hindi,auditory,True
d1b53c16-ef27-4656-906c-123e75447551,Krishna,7,Economics|Music|Political Science|Geography,Political Science,Art & Design|Physics,reading,True
4082820a-21a5-4b69-b2e9-7420a8a3af4c,Sanya,1,Art & Design|Geography,Computer Science,Political Science|Biology,reading,True
f33966b7-6928-4ead-85fa-d4ebb3084bbd,Aditya,3,Geography|History|Computer Science|Mathematics,Political Science,Psychology|Computer Science,visual,True
adedf2f2-5561-447d-ad35-df4c7f21cf93,Ayaan,5,Political Science|Computer Science|Chemistry,History|Geography|Art & Design,Political Science|Mathematics,visual,True
c9885cb1-e350-41f2-ac9a-e467495b57df,Navya,11,Geography|Mathematics|English,Geography|Chemistry|Hindi,Mathematics,reading,True
96d8fe8d-07d2-4549-b87e-9f5f90b2d38f,Reyansh,12,Psychology|English,Political Science,Art & Design,reading,True
60c8af3f-d65c-4486-a9ba-4b6d3647b9c9,Ahana,12,Economics|Art & Design|Chemistry|Biology|Music,Psychology,Mathematics|Chemistry,reading,True
6634d2c9-259e-411f-885c-b506603ca8da,Aditya,12,Music|Political Science|Art & Design|Biology|Computer Science,Music,Hindi,kinesthetic,True
7428fbee-9468-4155-849b-8797afaffbf7,Vivaan,3,Environmental Science|History|English,Environmental Science|Music,Biology,auditory,True
d5c6a24e-0098-41b4-9124-888c17f2aa68,Kabir,6,Computer Science|Environmental Science|Physics|Psychology,Political Science|Geography,Music|Economics,visual,True
52c225d2-ee91-4052-b219-60560607e332,Rohan,1,Chemistry|Economics|Computer Science|Mathematics,Economics,English|Music,kinesthetic,True
6c64b318-3c92-4568-a8d7-26fc333bc475,Aryan,9,Hindi|Economics,Computer Science,Music,visual,True
db391ee5-9de5-42ef-8054-8a890df342cb,Om,8,English|Hindi|Physics,Psychology|English|Economics,Music|Physics,reading,True
1684944f-a6e9-46c5-8202-5c01c1eaef23,Yash,8,Political Science|Hindi|English|Environmental Science,Computer Science|Geography|Chemistry,Economics,kinesthetic,True
9fb81d58-8cbe-44c0-94b0-e94f857f538d,Sara,10,Economics|Psychology|Computer Science,Geography|Environmental Science,Computer Science,auditory,True
8e901402-4ed3-40bc-8ff6-6f9884b02f05,Ahana,6,History|Psychology|Environmental Science|Political Science,Geography,Environmental Science|Psychology,auditory,True
cbb85cfd-8ad7-4d7b-a21f-4f0ea664dba4,Tara,10,Computer Science|Geography,Political Science|Economics|English,Biology,reading,True
22e88e4f-0602-4617-b494-83579a8062e2,Neha,3,Chemistry|Mathematics|Environmental Science,History,Geography,auditory,True
5cfc4671-62a0-4d7a-98e8-c99c62144d72,Aadhya,11,History|Hindi|Biology|Chemistry|Political Science,Mathematics|Music|Environmental Science,History,auditory,True
6f7ba580-864e-4717-8d88-67b49a667e89,Pooja,12,Mathematics|Geography|Biology|Physics|History,Music,Political Science|Geography,reading,True
ad7e7c2d-b46a-4525-aa18-1d77c858cfae,Rudra,12,Economics|Environmental Science|Art & Design|Geography|Hindi,History|Chemistry|Art & Design,Economics|English,auditory,True
74b05afd-04a3-411f-a027-48c974ef1a93,Sara,10,Music|Psychology|Geography|History,Biology|Computer Science|History,Psychology,auditory,True
a548b221-8542-4e9a-893c-fdbf42f36939,Sanya,4,English|Geography|Physics|Chemistry,Biology,Music|Chemistry,auditory,True
dce96597-076b-4509-b09c-137adbf60112,Shreya,1,Hindi|English|Geography|History|Psychology,Biology,History|Environmental Science,visual,True
49a11652-0493-49e2-85fd-64024aeac65e,Aadhya,12,History|Mathematics|English|Computer Science|Hindi,Geography|Art & Design,History,reading,True
e9f3b5ec-680b-463d-9a1d-07e12654e2b6,Varun,6,Mathematics|Hindi|English|Political Science|Art & Design,Art & Design|Chemistry,Biology|Political Science,visual,True
62cf3f31-965b-4197-84eb-854dc512480f,Pari,6,Physics|Political Science,Chemistry|Environmental Science,Biology|Mathematics,kinesthetic,True
21b106b4-c58e-4779-8484-5478d092f82c,Zara,5,History|English|Environmental Science,Computer Science|Music,English|Physics,visual,True
ad7ad474-96e9-4dcf-815e-d3343296e62d,Isha,11,English|Biology,Physics|Music|Political Science,Mathematics,auditory,True
e807e78a-7834-49b5-b10d-46aff10d25d7,Kavya,K,Biology|Chemistry|History,Physics|Economics|Biology,Psychology|Hindi,reading,True
71e07e78-fb35-411b-ba8a-1d434c09ba30,Vivaan,2,Music|Environmental Science,Computer Science,Political Science,reading,True
133084d3-911b-446d-8207-5b1a47584458,Kavya,9,Hindi|Art & Design|Biology|Physics|Economics,Environmental Science|Political Science|Biology,Psychology,reading,True
9110b5f3-0f34-4aad-b367-1ab2fb2f94fa,Arjun,10,Music|Economics,English,Art & Design|Hindi,reading,True
02567eba-3cad-4164-b709-d902bbe9b9dc,Diya,K,Environmental Science|History|Physics|Hindi|English,Psychology|Environmental Science|History,Hindi,reading,True
4ca058a9-1360-468c-a6ac-b58ad28a7fb9,Tanvi,9,History|Hindi|Art & Design|Economics|Computer Science,Environmental Science|Biology,English,auditory,True
39307b20-ea6c-44f2-bac9-d31af530d82b,Aanya,12,Economics|Psychology|Political Science|Hindi|English,History,Chemistry|Geography,reading,True
e173ff1e-9dc3-4013-bb94-bfd4ec616054,Isha,12,English|Computer Science|Economics|Art & Design,Geography|Mathematics,Chemistry,kinesthetic,True
981c70cb-045d-4b0f-a672-3979d37197cb,Sara,7,Art & Design|History|Political Science,History|Psychology|Music,Physics,auditory,True
d7d83686-5cef-4e76-ac07-69e9aa04540c,Pooja,6,Computer Science|Political Science|Economics,History|Geography,Hindi|Environmental Science,reading,True
63602475-4593-41c6-a1d8-2c95a6b48f30,Aanya,5,Computer Science|Psychology|Environmental Science|Biology|Physics,Biology|English|Physics,Hindi,kinesthetic,True
1ba6a8c5-f8d4-49b4-af35-7e54835a3b04,Aarav,4,Physics|Environmental Science|Biology|Computer Science,English,Computer Science,auditory,True
fc6203a3-296b-4ff6-ac22-87ce3ec8f188,Arnav,4,Mathematics|Geography,Art & Design|Chemistry,Physics|Mathematics,reading,True
84759cb8-1d96-4d38-8023-14132dcc1dd8,Riya,7,History|English|Chemistry|Mathematics|Computer Science,Physics|Environmental Science,History,visual,True
1e76f34b-5557-42bd-bdbd-24f8331ff234,Rudra,9,Chemistry|Psychology,Computer Science|Physics|Biology,Art & Design,kinesthetic,True
fafc8f16-5fb1-4327-a64b-c5e261548a33,Navya,9,Music|Geography|Hindi,Psychology|History,Political Science|Hindi,visual,True
52480867-6e4c-49f6-82cb-f4a9be59d46e,Isha,9,Music|Biology,Biology|Computer Science|Political Science,Chemistry,auditory,True
fa02ed1c-6d91-4e66-b5a1-1e45af66d566,Aadhya,8,Chemistry|Mathematics,History|Art & Design,Computer Science|Mathematics,reading,True
0223d530-4be9-41e7-97f7-de31be5ca8b5,Ayaan,11,Art & Design|Environmental Science|History|Physics,Biology|Computer Science|Music,Geography,auditory,True
218ec52a-0466-4e0c-b14e-832c5f4bde2d,Navya,10,Psychology|Computer Science|Chemistry,Mathematics,Environmental Science,reading,True
8fee374a-5f9a-4a9d-b0a5-383eaebda193,Riya,7,History|Art & Design,Art & Design|Hindi,Economics|Psychology,kinesthetic,True
d5f6fc49-950c-49f2-b668-577a3f97d6ec,Aadhya,1,Psychology|Hindi,English|Economics|Computer Science,Physics,visual,True
241f0db6-2b65-4b4a-a7bc-ad3bd273dd58,Shreya,12,Economics|Mathematics|Music|Chemistry,Geography|Political Science,Computer Science|Chemistry,kinesthetic,True
c77eec8d-fae9-43b0-8636-7b3eceade1fa,Neha,10,Physics|History|English|Hindi|Music,Political Science|Physics,Hindi,kinesthetic,True
01b8e879-aa21-490f-91cf-afdd14d52bb9,Kavya,4,Environmental Science|Music|Geography|Mathematics|History,English,Hindi|Physics,kinesthetic,True
05ee0a31-d308-4892-b082-fa6a07150334,Meera,8,Political Science|Environmental Science,History|Hindi|Mathematics,Art & Design,kinesthetic,True
dfd9591a-6fb6-4c45-877b-67642332fe02,Riya,10,Music|Mathematics|Biology|Computer Science|Geography,Psychology,History|Art & Design,visual,True
91b16d36-6fa6-4978-8bd0-fb99cfdeae5d,Ayaan,K,Art & Design|Chemistry|Computer Science,Mathematics|Geography|Hindi,Computer Science,kinesthetic,True
770e8582-081f-4ea3-b9af-0bb9a7b41ea4,Dev,1,History|Art & Design|Computer Science,Art & Design|Computer Science|Hindi,Economics|Biology,auditory,True
89c9e2bd-02fc-4239-b32f-c3e5a80af6d9,Karan,6,Psychology|Economics|Geography,Psychology|Chemistry|Physics,Geography|History,reading,True
f9388536-75b2-4650-b611-48511630329d,Anika,K,Art & Design|Computer Science|Economics|Music,History|Environmental Science|Chemistry,Political Science|Economics,reading,True
9938f079-cc00-45eb-8f7e-131bbfc46dbb,Ahana,8,History|English|Biology|Art & Design|Music,Hindi|Biology|Music,Mathematics|History,kinesthetic,True
4af71aed-f175-4985-8efe-0294a7fc8e37,Reyansh,11,Hindi|Political Science|Music|Environmental Science|Chemistry,Mathematics|Chemistry,Biology|Economics,kinesthetic,True
1df19ed6-03a3-4614-a659-bf5436f54b7e,Kabir,K,Hindi|Environmental Science|Political Science,Physics,Environmental Science|English,kinesthetic,True
da416759-0957-4d80-b259-3550eb031482,Varun,10,Environmental Science|English,Environmental Science|Geography|Hindi,Music|Economics,visual,True
53b8d099-7b5e-4ca3-839b-e91361585cb4,Reyansh,9,Biology|Political Science,Psychology|Computer Science|Biology,Geography,visual,True
790b86d8-8645-474a-85bc-c1f4cdfc244c,Anika,7,Art & Design|Computer Science|Mathematics,English,Computer Science,reading,True
28d9e81d-9bc8-4e4c-8bd5-2371c4701943,Sai,6,Biology|Geography|Hindi,Political Science|Music|Chemistry,Biology,kinesthetic,True
f32f55f8-88b8-4a28-9181-b7180dc065a1,Yash,9,History|Economics|Chemistry,History,Geography|Computer Science,visual,True
1a11bc41-131c-4997-952f-b3ffdac09818,Advait,12,Psychology|Computer Science|Political Science|Geography|Chemistry,History,Political Science|Computer Science,kinesthetic,True
6f0c1132-16ad-4e83-a128-4ce8921cc4f7,Priya,11,History|Environmental Science|Computer Science|Biology,Environmental Science|History,Biology,reading,True
5cdd0bce-9633-495c-b091-cd90718cbaba,Ahana,9,Art & Design|Computer Science|Mathematics|Political Science,Computer Science|Mathematics,Art & Design,kinesthetic,True
0af80b74-3ebd-4338-9964-caa835dc6d87,Pari,4,Economics|Music|English,Political Science,Economics,auditory,True
766df3ac-703f-43c5-bb76-73a44ef78ee3,Meera,10,Psychology|Political Science,Mathematics|Computer Science|Music,Physics|Art & Design,auditory,True
2225d6d9-d66d-4d58-bd23-7ed7118670f6,Myra,1,English|Art & Design|Hindi|Chemistry,Chemistry,Economics|Psychology,auditory,True
7347f9b2-9e85-4bb2-9be4-6349d0b8297c,Om,4,Music|Computer Science|Art & Design|English|Physics,Physics|Chemistry,Music,kinesthetic,True
27ff9f56-3a99-4c61-91b8-c639b2b8a868,Ahana,12,Physics|Music|Hindi|Mathematics,Geography|Physics,Hindi|Music,reading,True
c76ff11b-a9e4-4f3f-859c-0fe0568798e3,Pooja,9,Environmental Science|Political Science|English|Physics|Psychology,History,Political Science,reading,True
0299650c-36fb-4379-82b3-a60d47f13c0d,Ayaan,9,Political Science|Physics|Psychology,Psychology|Art & Design,Political Science|Hindi,auditory,True
11b53ef6-d42c-4c77-b937-35c5ab9d08c0,Krishna,K,Computer Science|History,Physics,Economics,kinesthetic,True
1c508621-4a98-458d-bb3c-05169c154ea8,Mira,7,Political Science|Art & Design|Environmental Science|Geography,Economics|Art & Design,Hindi,visual,True
a86999f3-770d-4dcf-afce-cb73b1282be1,Meera,7,Computer Science|Mathematics|Art & Design|English|Biology,History|Biology,Physics|Music,reading,True
7b3ebb4a-a323-483c-8bcd-8c992809cb6e,Kabir,K,Computer Science|Biology|Physics|History|Music,Biology|Political Science|Environmental Science,Mathematics,auditory,True
b7cc69f2-d90a-43db-82be-400fae58d7e5,Kavya,2,Physics|Environmental Science|Music,Biology|Economics|Psychology,Hindi,auditory,True
aa8e9359-e903-4a4d-a3a7-eee6f652c7e7,Ayaan,12,Computer Science|Environmental Science,Chemistry,Environmental Science|Biology,visual,True
be3fc0aa-fdf2-4eb2-af21-72bdfd6aa495,Pari,2,English|Music,Economics,Mathematics|Chemistry,visual,True
941b5c85-329c-4c8f-a4e3-0e262254db8e,Karan,2,Geography|Physics|Art & Design|Environmental Science|History,Music|English,Geography,auditory,True
f1059e12-a2f4-4f9f-9582-2c40d077f3f6,Zara,9,Art & Design|Music,Geography|Computer Science|History,Mathematics,kinesthetic,True
654efa92-a975-40ba-8c98-aacf98dea2c3,Arjun,6,History|Art & Design,Physics|Psychology,Political Science|Biology,auditory,True
351c4788-2294-44b6-b4a9-bd56c3406b18,Ayaan,4,Hindi|Economics|Geography|Computer Science,Geography|Economics,Physics|Environmental Science,auditory,True
20be1ba3-0fd4-4145-aa64-e9bf5eecd72b,Aryan,6,Psychology|Biology|Hindi|English|History,Hindi|Art & Design,English,reading,True
6e8c97e3-f75e-4043-8676-82d90386f83b,Aryan,10,English|Chemistry|Political Science|History,Physics,Chemistry,visual,True
025c442d-5e56-4731-a6fe-b50d0af52dc7,Anika,11,Music|Chemistry|Geography|Mathematics,Geography|Psychology|English,History,kinesthetic,True
501be360-3149-4242-b2db-7aa9b4918d83,Yash,11,Computer Science|Economics,English|Physics,Biology,kinesthetic,True
feabd1fe-f7ce-4ed8-8ebe-fcc879a7eca1,Aryan,3,English|Environmental Science,English|Physics|Music,Art & Design|Computer Science,visual,True
5e9dc6d4-19df-47f1-be69-bc1fcce288e9,Ishaan,9,Mathematics|Chemistry|Computer Science|Art & Design,Psychology|English,Mathematics|Chemistry,kinesthetic,True
53a97ab4-2828-4fdf-bbdc-674f2abfa9bc,Neha,1,Art & Design|Political Science|Mathematics,Art & Design,Hindi,kinesthetic,True
e1e5508f-a322-442e-b138-f0718343c735,Ishaan,5,English|Computer Science|Art & Design,Music|Economics,Mathematics,auditory,True
9d191ff8-65fb-492b-ad87-815eeacf6ee9,Tanvi,12,Political Science|Physics,History|Political Science,Geography|Art & Design,kinesthetic,True
f40523a4-6d72-4d1f-ae6c-c4010eeb0e88,Shreya,4,Music|Geography|Physics,Hindi|Physics,Music|Psychology,kinesthetic,True
dfb23070-8af9-4154-8838-e18e1916f10c,Aanya,8,Mathematics|Biology|Hindi|Economics,Mathematics,English,auditory,True
f0b144e4-494a-481f-884d-6db9f890ea74,Priya,12,Computer Science|English|Physics|Mathematics,Art & Design|Hindi,Chemistry,auditory,True
4770f597-61d2-42d6-b87d-ab852dd16771,Arnav,8,Physics|Hindi|Art & Design|Mathematics,Mathematics|History,Hindi,kinesthetic,True
19976f7d-c03e-4fb8-a6f5-e9650cbcddb7,Kiara,9,Art & Design|Political Science|Hindi|Computer Science|Physics,Mathematics|English,Psychology,kinesthetic,True
9ffc3ef3-413c-4e02-ad19-d50821659bb4,Navya,11,Physics|Hindi|Psychology|Biology,Economics|Hindi,History,reading,True
07482569-1c2d-4c9c-ac4f-648793554e6a,Anika,3,Music|Chemistry|Physics|Geography,Physics|Geography|Environmental Science,Hindi,auditory,True
6c41c2ae-c11e-42e3-bde9-b27dbf2ae613,Rudra,3,Chemistry|Computer Science,Chemistry,Environmental Science,visual,True
1f8764f9-0f6d-4e76-9b8a-0e8d67a9ace7,Ishaan,2,History|Music|Economics|Environmental Science|Psychology,Psychology|Economics|Political Science,Music|English,kinesthetic,True
97c281fc-7136-42da-81d0-5903b6ab3a23,Dev,1,History|Political Science|Computer Science|Music|Economics,English,Computer Science,kinesthetic,True
60ec872c-56f9-43cb-bca0-bf213c0506f1,Laksh,K,English|Environmental Science,Physics|Political Science,Art & Design,kinesthetic,True
b1aaa3b6-058e-4878-82d5-033144ed0ba8,Vihaan,7,History|Music,Political Science|Biology|English,Art & Design|Chemistry,kinesthetic,True
04903f85-d85e-4a31-b566-dd566f9698eb,Tanvi,1,Art & Design|Physics|Geography|Political Science,Mathematics,Music,kinesthetic,True
f651a14e-2c21-45d4-af57-41d5c2def1e9,Vihaan,8,English|Psychology|Computer Science,Hindi|Music,Art & Design|Political Science,reading,True
a7e65ee2-0f90-4ff7-95ef-db30dbca040d,Sai,1,Physics|Geography|Political Science|Hindi,Computer Science|Art & Design,Hindi,auditory,True
935cbc71-b7cc-4375-8f30-8a1b08c41425,Pooja,5,Political Science|Art & Design|Psychology|Hindi,Economics,Computer Science,kinesthetic,True
3e17cf33-64b8-4ed0-8a01-2de613f1d3a8,Vivaan,10,Environmental Science|Chemistry|Political Science|Art & Design,Political Science|Geography|Physics,Art & Design|Hindi,reading,True
ffa44baf-feea-4035-ac63-fc3c3fa7d382,Arjun,4,Biology|English|Music,Biology|Psychology,Chemistry,reading,True
5a1659e4-4bef-43a7-a323-0db6bc0decea,Kabir,12,Geography|Music,Environmental Science|Art & Design|Geography,Music,auditory,True
5981acdf-8cf6-4581-831f-c3e33c6c9aea,Meera,9,Chemistry|Psychology|Environmental Science|Art & Design|Economics,Art & Design,Mathematics|Hindi,auditory,True
f6986485-43fe-482a-bde3-10260d1165dc,Zara,7,Music|Art & Design|Psychology|History,Geography,Computer Science,auditory,True
6690815f-ea52-46fc-85e4-4a40f5edfcf0,Vihaan,5,History|Music|Computer Science|Hindi|Geography,Hindi|Chemistry|Biology,History,kinesthetic,True
2a6377e3-3b11-4296-8a7a-8bb0f43529ce,Myra,5,Art & Design|Environmental Science,Environmental Science|Physics|Computer Science,Biology,kinesthetic,True
1d34f349-8700-49b2-a566-560cba7653df,Neha,8,Environmental Science|Hindi|Physics,Environmental Science,English|Mathematics,visual,True
0a5a1b88-28da-4986-b5a1-82748797281b,Mira,6,Biology|Hindi|Physics|English,Mathematics,Chemistry|Music,reading,True
39ad168c-eda0-4033-93bf-d8b0f95b631f,Sanya,12,Chemistry|Mathematics|Computer Science,Art & Design|Environmental Science,Psychology,kinesthetic,True
ec46e1b5-df1d-4800-ad6d-de8d31e46ca4,Ishaan,7,Psychology|Physics,Computer Science,Psychology,kinesthetic,True
dc63aed4-885c-4f8b-a93d-471a08948560,Riya,1,Biology|Computer Science|Physics|Mathematics,Hindi,Physics|Psychology,visual,True
1826224c-9c88-4486-b936-1d37f2cc8eea,Neha,10,Art & Design|Chemistry|Computer Science,Mathematics|Economics,Computer Science|Art & Design,auditory,True
9f274d71-8417-40fb-82c4-3e38c8b26525,Zara,10,Geography|English,Geography,Hindi,visual,True
da0916f3-44ca-410b-8fe2-2540777129bd,Yash,10,English|Computer Science|Art & Design|Mathematics|Psychology,English,Music,visual,True
59c539af-b1d8-4ae8-ad28-f7b1a65ee85b,Tara,12,Chemistry|Mathematics|English|Geography,Environmental Science|Political Science,Psychology,kinesthetic,True
a86b0dee-af07-4802-950c-d59fdddbd97f,Saanvi,11,Political Science|Chemistry|Music|Environmental Science|Physics,Music|History|Mathematics,Computer Science|Physics,visual,True
c707643f-4324-4140-a8ec-9bcc74be81cc,Anika,5,Geography|Hindi|Psychology|History,Mathematics|Music,English,visual,True
094ff009-e7f8-4029-ae77-ed6d77aa4aa3,Diya,10,Computer Science|Physics|Music|English,Psychology|Hindi,History|English,kinesthetic,True
fd41ebb2-ca3c-496b-925d-d71cab4944aa,Sara,11,English|Music|Geography|Computer Science|Physics,Hindi|Physics|Psychology,Political Science,reading,True
ab3e0925-08e1-4945-a1b7-a08f599b2291,Tanvi,1,English|Political Science,Computer Science|History,Chemistry|Environmental Science,reading,True
a7d3b354-0878-48dc-9ee3-f6684f3937e4,Arjun,7,Art & Design|Environmental Science,Economics|Hindi,Music|Mathematics,kinesthetic,True
8ea3d018-94ff-4b5a-bb53-08f8bca23347,Isha,5,Mathematics|Chemistry|Economics,Music|History|Mathematics,Chemistry,reading,True
b46fc3ca-38f7-4cb3-bbda-7926047350ea,Arnav,5,Economics|Mathematics|Psychology|Chemistry|Political Science,English|Psychology,Environmental Science|Physics,auditory,True
2484722d-408e-4a46-8462-972d8acf3253,Diya,8,Hindi|English|Political Science|Computer Science,Physics,Music,kinesthetic,True
f17e6e86-34e4-4053-8f08-c700db7f1501,Saanvi,8,Psychology|Geography|Physics|Computer Science|Art & Design,History|Biology|Economics,Psychology|Political Science,visual,True
7e182d3e-06a8-4e96-8502-4adc7e4fbbb6,Sanya,2,History|Chemistry,History|Physics|Music,Environmental Science|Hindi,visual,True
73c447ea-3ce1-4b85-ae80-1c4a71e3e9dd,Karan,8,Psychology|Computer Science|Chemistry|Art & Design,Psychology|Art & Design|Political Science,English,auditory,True
a6a4285b-7342-4c13-962b-13e89fdac0f8,Krishna,1,Music|Chemistry|Biology,Mathematics|English,Economics|Political Science,visual,True
20928875-7752-4e2e-8c4a-042b51fc79a6,Rohan,1,Hindi|Art & Design|Environmental Science|History,Hindi|Music|Psychology,Chemistry,visual,True
40c2eef6-7dc3-40a2-a4ec-3002295bbfc6,Karan,7,Political Science|Geography|English|Chemistry|Environmental Science,Economics|Chemistry|Music,History,visual,True
770b14be-8c9d-475e-ae9c-4a057a0655e8,Nisha,1,Computer Science|Chemistry|Environmental Science,Psychology|Art & Design,English,reading,True
c6c34fc6-c8f3-40bf-acba-79228f2e2113,Sai,1,Biology|Political Science|Geography|Computer Science,Political Science,Economics|Geography,auditory,True
8debaac0-289a-4695-8432-b732af8d6358,Sai,9,Chemistry|Political Science|Economics,Psychology|Economics|English,Mathematics,visual,True
1d1178d9-51da-4674-b276-898aaa032f71,Advait,10,Political Science|Biology|Music|Economics,Economics|Political Science,History,reading,True
d7758344-3472-468e-9f67-2e218e845ac8,Vihaan,10,History|Biology|Music|Political Science,Computer Science|History,Environmental Science,auditory,True
4b05bd18-2056-4e3d-83bb-7cb6dc0859fd,Rahul,7,History|Psychology|Biology|English|Economics,English,Music|Hindi,auditory,True
e83fac4e-204f-4ecf-b27e-4b717e5a7406,Tanvi,12,Geography|Psychology|Physics|English,History,Computer Science,auditory,True
2957115a-30c7-4968-bf09-0192b2234f56,Rohan,2,Mathematics|Computer Science,Environmental Science|Economics,Biology|Chemistry,reading,True
01489be8-a07e-4ce5-be80-4b67abf3b9e4,Rahul,3,History|Geography|Psychology,Psychology|Computer Science,Mathematics|Physics,kinesthetic,True
b538c921-85ba-4bf0-84fc-b9335ee9a21e,Tara,3,Economics|English|Mathematics,Computer Science,Political Science|Art & Design,kinesthetic,True
663193bd-3f6a-44dd-a087-768c2d5d6f70,Meera,4,Environmental Science|Physics,Chemistry|Computer Science,Psychology|Geography,visual,True
3d46c0cd-143c-42e8-87be-a2e185583361,Karan,6,Economics|Geography,English,Physics|History,kinesthetic,True
bb0cb6a5-45ae-404c-8e5c-c0140d5738e1,Meera,12,Environmental Science|Economics|Political Science|Psychology,Chemistry,History,reading,True
8834fdfd-ad1c-4797-840f-1dd410cb32e5,Krishna,8,Music|Chemistry|Biology|Economics,Hindi|Geography|Mathematics,Physics,reading,True
44b08c32-03fc-4933-bf94-bd08914be50e,Kiara,12,Geography|History|Chemistry|Economics|Psychology,English,Chemistry|History,reading,True
27b3c5bf-4620-4a17-bdc8-c04469851943,Meera,9,Geography|Environmental Science|Psychology|Music,Art & Design|Economics,History|Mathematics,reading,True
032e2407-8923-4035-bb76-717b55270900,Zara,10,Hindi|Economics,Music|Art & Design,Economics,reading,True
